IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,10135,,Lehigh Valley International
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,10136,1,Abilene Regional
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,10140,4,Albuquerque International Sunport
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,10141,1,Aberdeen Regional
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,10146,5,Southwest Georgia Regional
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,10154,8,Nantucket Memorial
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,10155,1,Waco Regional
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,10157,2,Arcata
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,10158,1,Atlantic City International
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,10165,7,Adak
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,10170,5,Kodiak
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,10185,15,Alexandria International
AGS,Augusta Regional Airport?(Bush Field),Augusta,GA,USA,33.36996,-81.9645,10208,23,Augusta Regional
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,10245,37,King Salmon
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,10257,12,Albany International
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,10268,11,Waterloo Regional
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,10279,11,Rick Husband Amarillo International
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,10299,20,Ted Stevens Anchorage International
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,10333,34,Alpena County Regional
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,10372,39,Aspen-Pitkin County
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,10397,25,Hartsfield-Jackson Atlanta International
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,10408,11,Appleton International
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,10423,15,Austin-Bergstrom International
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,10431,8,Asheville Regional
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,10434,3,Wilkes-Barre/Scranton International
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,10469,35,Kalamazoo/Battle Creek International
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,10529,60,Bradley International
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,10551,22,Bethel
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,10561,10,Meadows Field
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,10577,16,Greater Binghamton
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,10581,4,Bangor International
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,10599,18,Birmingham-Shuttlesworth International
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,10620,21,Billings Logan International
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,10627,7,Bismarck Municipal
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,10631,4,Bemidji Regional
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,10666,35,Bellingham International
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,10685,19,Central Illinois Regional  at Bloomington-Normal
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,10693,8,Nashville International
BOI,Boise Airport?(Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,10713,20,Boise ?(Boise Air Terminal)
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,10721,8,Gen. Edward Lawrence Logan International
BPT,Jack Brooks Regional Airport?(Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,10728,7,Jack Brooks Regional ?(Southeast Texas Regional)
