,FLIGHT_ID,Date
21,AA102,True
28,AA1028,True
36,AA1036,True
37,AA1037,True
38,AA1038,True
42,AA1042,True
55,AA1056,True
120,AA1123,True
125,AA1128,True
128,AA1130,True
164,AA1165,True
173,AA1173,True
183,AA1182,True
203,AA120,True
233,AA123,True
263,AA1257,True
362,AA1352,True
385,AA1376,True
407,AA1397,True
417,AA1406,True
432,AA1420,True
440,AA1428,True
456,AA1443,True
468,AA1454,True
496,AA1482,True
499,AA1486,True
522,AA1508,True
551,AA1536,True
561,AA1547,True
563,AA1549,True
567,AA1552,True
582,AA1567,True
587,AA1571,True
603,AA1586,True
606,AA1589,True
609,AA1591,True
610,AA1592,True
626,AA1607,True
644,AA1625,True
666,AA1648,True
672,AA1653,True
686,AA167,True
707,AA169,True
719,AA170,True
861,AA183,True
1024,AA198,True
1059,AA201,True
1113,AA206,True
1135,AA208,True
1245,AA2187,True
1247,AA2189,True
1258,AA2199,True
1294,AA2233,True
1303,AA2241,True
1305,AA2243,True
1342,AA2278,True
1353,AA2289,True
1354,AA229,True
1359,AA2294,True
1396,AA233,True
1407,AA234,True
1418,AA235,True
1427,AA236,True
1433,AA2365,True
1437,AA2369,True
1450,AA2381,True
1461,AA2391,True
1477,AA2405,True
1484,AA2411,True
1488,AA2415,True
1493,AA2420,True
1498,AA2426,True
1508,AA2436,True
1521,AA2449,True
1533,AA246,True
1535,AA2461,True
1543,AA247,True
1553,AA2479,True
1572,AA2496,True
1577,AA250,True
1578,AA2500,True
1592,AA2513,True
1599,AA252,True
1602,AA2522,True
1610,AA253,True
1616,AA2535,True
1620,AA2539,True
1621,AA254,True
1630,AA2550,True
1631,AA2551,True
1651,AA257,True
1661,AA2579,True
1686,AA2603,True
1689,AA2606,True
1690,AA2607,True
1696,AA2612,True
1701,AA2617,True
1706,AA2621,True
1712,AA265,True
1713,AA266,True
1728,AA280,True
1730,AA282,True
1739,AA290,True
1740,AA291,True
1747,AA298,True
1760,AA31,True
1903,AA446,True
1940,AA48,True
1951,AA49,True
1969,AA506,True
1995,AA53,True
2028,AA56,True
2070,AA6,True
2082,AA61,True
2104,AA63,True
2115,AA64,True
2137,AA66,True
2147,AA67,True
2158,AA68,True
2187,AA705,True
2226,AA741,True
2227,AA742,True
2264,AA777,True
2274,AA786,True
2286,AA798,True
2288,AA8,True
2290,AA800,True
2295,AA805,True
2316,AA826,True
2336,AA846,True
2396,AA921,True
2400,AA928,True
2402,AA931,True
2403,AA933,True
2409,AA942,True
2414,AA955,True
2415,AA956,True
2416,AA957,True
2417,AA958,True
2435,AA989,True
2438,AA992,True
2449,AS106,True
2453,AS11,True
2462,AS118,True
2463,AS119,True
2464,AS12,True
2466,AS121,True
2467,AS122,True
2470,AS125,True
2471,AS126,True
2472,AS127,True
2473,AS128,True
2482,AS137,True
2488,AS142,True
2489,AS143,True
2490,AS144,True
2492,AS146,True
2496,AS15,True
2505,AS159,True
2506,AS16,True
2509,AS163,True
2512,AS166,True
2514,AS168,True
2515,AS169,True
2519,AS173,True
2522,AS176,True
2523,AS178,True
2524,AS179,True
2525,AS18,True
2527,AS19,True
2536,AS222,True
2537,AS223,True
2542,AS233,True
2544,AS238,True
2547,AS240,True
2562,AS29,True
2572,AS305,True
2577,AS31,True
2580,AS312,True
2587,AS32,True
2597,AS329,True
2601,AS333,True
2607,AS34,True
2609,AS342,True
2610,AS343,True
2611,AS344,True
2613,AS346,True
2614,AS347,True
2615,AS349,True
2616,AS35,True
2617,AS350,True
2618,AS353,True
2619,AS354,True
2620,AS355,True
2621,AS356,True
2624,AS36,True
2625,AS360,True
2629,AS364,True
2632,AS368,True
2633,AS369,True
2634,AS37,True
2639,AS375,True
2642,AS38,True
2644,AS381,True
2646,AS383,True
2654,AS393,True
2657,AS399,True
2658,AS4,True
2663,AS403,True
2664,AS404,True
2665,AS405,True
2672,AS411,True
2677,AS416,True
2678,AS418,True
2681,AS420,True
2687,AS428,True
2688,AS429,True
2690,AS431,True
2706,AS446,True
2713,AS452,True
2715,AS454,True
2720,AS459,True
2729,AS467,True
2730,AS468,True
2736,AS473,True
2740,AS477,True
2753,AS489,True
2757,AS493,True
2761,AS497,True
2763,AS499,True
2764,AS5,True
2767,AS501,True
2768,AS502,True
2778,AS512,True
2781,AS515,True
2788,AS522,True
2789,AS523,True
2790,AS524,True
2797,AS531,True
2798,AS532,True
2801,AS535,True
2805,AS540,True
2817,AS552,True
2823,AS558,True
2827,AS562,True
2828,AS563,True
2829,AS564,True
2838,AS573,True
2844,AS58,True
2849,AS585,True
2850,AS587,True
2852,AS589,True
2853,AS59,True
2860,AS597,True
2861,AS598,True
2863,AS6,True
2867,AS602,True
2869,AS604,True
2872,AS607,True
2877,AS611,True
2878,AS612,True
2881,AS615,True
2883,AS617,True
2889,AS622,True
2892,AS625,True
2893,AS626,True
2894,AS627,True
2897,AS63,True
2901,AS633,True
2905,AS637,True
2910,AS641,True
2912,AS644,True
2913,AS645,True
2915,AS648,True
2918,AS650,True
2920,AS652,True
2923,AS655,True
2924,AS656,True
2925,AS657,True
2926,AS658,True
2927,AS659,True
2930,AS661,True
2933,AS664,True
2939,AS670,True
2940,AS671,True
2943,AS674,True
2948,AS679,True
2950,AS680,True
2951,AS681,True
2956,AS686,True
2957,AS687,True
2963,AS692,True
2970,AS699,True
2971,AS7,True
2974,AS709,True
2976,AS710,True
2981,AS717,True
2982,AS718,True
2984,AS72,True
2985,AS720,True
2986,AS721,True
2987,AS722,True
2993,AS728,True
2994,AS729,True
2998,AS733,True
3000,AS735,True
3001,AS736,True
3004,AS74,True
3007,AS743,True
3009,AS745,True
3010,AS746,True
3013,AS75,True
3016,AS752,True
3017,AS753,True
3018,AS754,True
3022,AS759,True
3023,AS76,True
3026,AS764,True
3027,AS765,True
3029,AS767,True
3030,AS768,True
3031,AS769,True
3033,AS770,True
3034,AS771,True
3035,AS774,True
3037,AS777,True
3038,AS78,True
3039,AS787,True
3040,AS788,True
3041,AS789,True
3042,AS79,True
3043,AS791,True
3044,AS792,True
3045,AS793,True
3046,AS794,True
3047,AS798,True
3048,AS8,True
3052,AS802,True
3059,AS809,True
3060,AS81,True
3062,AS811,True
3063,AS812,True
3070,AS82,True
3084,AS833,True
3085,AS834,True
3090,AS839,True
3092,AS840,True
3094,AS843,True
3099,AS848,True
3103,AS851,True
3106,AS854,True
3114,AS862,True
3116,AS864,True
3127,AS874,True
3129,AS876,True
3132,AS879,True
3138,AS885,True
3139,AS886,True
3140,AS887,True
3146,AS894,True
3157,AS906,True
3158,AS909,True
3160,AS912,True
3161,AS914,True
3162,AS916,True
3163,AS917,True
3164,AS919,True
3166,AS921,True
3167,AS922,True
3168,AS924,True
3169,AS925,True
3170,AS926,True
3174,AS933,True
3176,AS944,True
3178,AS950,True
3179,AS958,True
3182,AS967,True
3186,AS998,True
3198,B61015,True
3199,B61016,True
3210,B61031,True
3211,B61032,True
3212,B61033,True
3214,B61035,True
3216,B61038,True
3217,B61039,True
3219,B61041,True
3220,B61042,True
3223,B61053,True
3224,B61054,True
3245,B61099,True
3250,B61105,True
3252,B61109,True
3255,B61116,True
3256,B61117,True
3260,B61121,True
3263,B61125,True
3264,B61126,True
3265,B61127,True
3268,B61130,True
3269,B61131,True
3272,B61135,True
3277,B61142,True
3278,B61145,True
3279,B61146,True
3280,B6115,True
3281,B61151,True
3285,B61161,True
3289,B61169,True
3291,B61170,True
3292,B61171,True
3298,B61185,True
3299,B61186,True
3301,B6119,True
3307,B61196,True
3308,B61197,True
3310,B61199,True
3311,B6120,True
3318,B61207,True
3319,B61208,True
3323,B61211,True
3324,B61212,True
3331,B61223,True
3332,B61224,True
3333,B61225,True
3336,B61233,True
3338,B61236,True
3339,B61237,True
3340,B6124,True
3341,B61241,True
3342,B61243,True
3343,B61245,True
3344,B61246,True
3347,B61251,True
3348,B61252,True
3354,B61262,True
3357,B6127,True
3359,B61272,True
3360,B61273,True
3361,B61274,True
3364,B61279,True
3367,B61284,True
3370,B61289,True
3371,B61290,True
3379,B61315,True
3380,B61316,True
3389,B61335,True
3390,B61336,True
3394,B61347,True
3395,B61348,True
3396,B6135,True
3401,B61367,True
3402,B61368,True
3404,B61371,True
3405,B61373,True
3406,B61374,True
3407,B61379,True
3410,B61383,True
3427,B61421,True
3428,B61422,True
3433,B61435,True
3434,B61436,True
3437,B6144,True
3442,B61447,True
3444,B61452,True
3445,B61453,True
3449,B61465,True
3450,B61466,True
3454,B61472,True
3458,B61479,True
3459,B6148,True
3460,B61480,True
3466,B6149,True
3469,B61494,True
3470,B615,True
3471,B6150,True
3478,B61511,True
3479,B61512,True
3483,B61521,True
3484,B61522,True
3487,B61534,True
3488,B6154,True
3489,B61543,True
3496,B61566,True
3497,B61567,True
3499,B61572,True
3501,B61580,True
3504,B61586,True
3505,B61589,True
3507,B61590,True
3508,B616,True
3509,B6160,True
3519,B61621,True
3520,B61622,True
3527,B61639,True
3529,B61640,True
3530,B6165,True
3531,B61651,True
3532,B61652,True
3535,B61667,True
3536,B61668,True
3540,B61679,True
3546,B61693,True
3547,B61694,True
3550,B6170,True
3555,B61717,True
3556,B61729,True
3557,B61730,True
3560,B61736,True
3562,B6176,True
3566,B61780,True
3567,B61783,True
3568,B61784,True
3576,B61815,True
3577,B61816,True
3578,B61822,True
3579,B6183,True
3584,B6185,True
3586,B6186,True
3588,B6188,True
3593,B61887,True
3594,B61888,True
3604,B61903,True
3605,B61904,True
3610,B61921,True
3611,B61922,True
3616,B6195,True
3617,B61951,True
